"video_id","model_name","technique_name","rag_enabled","pred_count","positives","false_positives","gt_count","json_valid","pred_total_kcal","gt_total_kcal"
"1","Gemma-SEA-LION v4 4B","chain-of-thought","0","8","64","0","8","1",NULL,"8128"
"1","Gemma-SEA-LION v4 4B","few-shot","0","6","48","0","8","1",NULL,"6096"
"1","Gemma-SEA-LION v4 4B","structured-output","0","8","64","0","8","1",NULL,"8128"
"1","Gemma-SEA-LION v4 4B","zero-shot","0","8","64","0","8","1",NULL,"8128"
"1","Llama 3.2 3B Instruct","chain-of-thought","0","8","64","0","8","1",NULL,"8128"
"1","Llama 3.2 3B Instruct","few-shot","0","5","40","0","8","1",NULL,"5080"
"1","Llama 3.2 3B Instruct","structured-output","0","8","64","0","8","1",NULL,"8128"
"1","Llama 3.2 3B Instruct","zero-shot","0","9","72","0","8","1",NULL,"9144"
"1","MedGemma 4B","chain-of-thought","0","8","64","0","8","1",NULL,"8128"
"1","MedGemma 4B","few-shot","0","8","64","0","8","1",NULL,"8128"
"1","MedGemma 4B","structured-output","0","7","56","0","8","1",NULL,"7112"
"1","MedGemma 4B","zero-shot","0","8","64","0","8","1",NULL,"8128"
"1","Phi-4-mini 3.8B Instruct","chain-of-thought","0","2","16","0","8","1",NULL,"2032"
"1","Phi-4-mini 3.8B Instruct","few-shot","0","6","48","0","8","1",NULL,"6096"
"1","Phi-4-mini 3.8B Instruct","structured-output","0","7","56","0","8","1",NULL,"7112"
"1","Phi-4-mini 3.8B Instruct","zero-shot","0","7","56","0","8","1",NULL,"7112"
"1","Qwen 2.5 3B Instruct","chain-of-thought","0","7","56","0","8","1",NULL,"7112"
"1","Qwen 2.5 3B Instruct","few-shot","0","7","56","0","8","1",NULL,"7112"
"1","Qwen 2.5 3B Instruct","structured-output","0","7","56","0","8","1",NULL,"7112"
"1","Qwen 2.5 3B Instruct","zero-shot","0","6","48","0","8","1",NULL,"6096"
"2","Gemma-SEA-LION v4 4B","chain-of-thought","0","11","165","0","15","1",NULL,"47586"
"2","Gemma-SEA-LION v4 4B","few-shot","0","11","165","0","15","1",NULL,"47586"
"2","Gemma-SEA-LION v4 4B","structured-output","0","13","195","0","15","1",NULL,"56238"
"2","Gemma-SEA-LION v4 4B","zero-shot","0","11","165","0","15","1",NULL,"47586"
"2","Llama 3.2 3B Instruct","chain-of-thought","0","8","120","0","15","1",NULL,"34608"
"2","Llama 3.2 3B Instruct","few-shot","0","7","105","0","15","1",NULL,"30282"
"2","Llama 3.2 3B Instruct","structured-output","0","9","135","0","15","1",NULL,"38934"
"2","Llama 3.2 3B Instruct","zero-shot","0","11","165","0","15","1",NULL,"47586"
"2","MedGemma 4B","chain-of-thought","0","14","210","0","15","1",NULL,"60564"
"2","MedGemma 4B","few-shot","0","16","240","0","15","1",NULL,"69216"
"2","MedGemma 4B","structured-output","0","13","195","0","15","1",NULL,"56238"
"2","MedGemma 4B","zero-shot","0","18","270","0","15","1",NULL,"77868"
"2","Phi-4-mini 3.8B Instruct","chain-of-thought","0","8","120","0","15","1",NULL,"34608"
"2","Phi-4-mini 3.8B Instruct","few-shot","0","2","30","0","15","1",NULL,"8652"
"2","Phi-4-mini 3.8B Instruct","structured-output","0","4","60","0","15","1",NULL,"17304"
"2","Qwen 2.5 3B Instruct","chain-of-thought","0","1","15","0","15","1",NULL,"4326"
"2","Qwen 2.5 3B Instruct","few-shot","0","9","135","0","15","1",NULL,"38934"
"2","Qwen 2.5 3B Instruct","structured-output","0","9","135","0","15","1",NULL,"38934"
"2","Qwen 2.5 3B Instruct","zero-shot","0","12","180","0","15","1",NULL,"51912"
"3","Gemma-SEA-LION v4 4B","chain-of-thought","0","9","81","0","9","1",NULL,"31770"
"3","Gemma-SEA-LION v4 4B","few-shot","0","9","81","0","9","1",NULL,"31770"
"3","Gemma-SEA-LION v4 4B","structured-output","0","9","81","0","9","1",NULL,"31770"
"3","Gemma-SEA-LION v4 4B","zero-shot","0","9","81","0","9","1",NULL,"31770"
"3","Llama 3.2 3B Instruct","chain-of-thought","0","10","90","0","9","1",NULL,"35300"
"3","Llama 3.2 3B Instruct","few-shot","0","5","45","0","9","1",NULL,"17650"
"3","Llama 3.2 3B Instruct","structured-output","0","10","90","0","9","1",NULL,"35300"
"3","Llama 3.2 3B Instruct","zero-shot","0","9","81","0","9","1",NULL,"31770"
"3","MedGemma 4B","chain-of-thought","0","9","81","0","9","1",NULL,"31770"
"3","MedGemma 4B","few-shot","0","9","81","0","9","1",NULL,"31770"
"3","MedGemma 4B","structured-output","0","9","81","0","9","1",NULL,"31770"
"3","MedGemma 4B","zero-shot","0","8","72","0","9","1",NULL,"28240"
"3","Phi-4-mini 3.8B Instruct","chain-of-thought","0","8","72","0","9","1",NULL,"28240"
"3","Phi-4-mini 3.8B Instruct","few-shot","0","10","90","0","9","1",NULL,"35300"
"3","Phi-4-mini 3.8B Instruct","structured-output","0","5","45","0","9","1",NULL,"17650"
"3","Phi-4-mini 3.8B Instruct","zero-shot","0","7","63","0","9","1",NULL,"24710"
"3","Qwen 2.5 3B Instruct","chain-of-thought","0","8","72","0","9","1",NULL,"28240"
"3","Qwen 2.5 3B Instruct","few-shot","0","9","81","0","9","1",NULL,"31770"
"3","Qwen 2.5 3B Instruct","structured-output","0","9","81","0","9","1",NULL,"31770"
"3","Qwen 2.5 3B Instruct","zero-shot","0","8","72","0","9","1",NULL,"28240"
"4","Gemma-SEA-LION v4 4B","chain-of-thought","0","20","240","0","12","1",NULL,"38280"
"4","Gemma-SEA-LION v4 4B","few-shot","0","20","240","0","12","1",NULL,"38280"
"4","Gemma-SEA-LION v4 4B","structured-output","0","20","240","0","12","1",NULL,"38280"
"4","Gemma-SEA-LION v4 4B","zero-shot","0","21","252","0","12","1",NULL,"40194"
"4","Llama 3.2 3B Instruct","chain-of-thought","0","13","156","0","12","1",NULL,"24882"
"4","Llama 3.2 3B Instruct","few-shot","0","5","60","0","12","1",NULL,"9570"
"4","Llama 3.2 3B Instruct","structured-output","0","11","132","0","12","1",NULL,"21054"
"4","Llama 3.2 3B Instruct","zero-shot","0","8","96","0","12","1",NULL,"15312"
"4","MedGemma 4B","chain-of-thought","0","20","240","0","12","1",NULL,"38280"
"4","MedGemma 4B","few-shot","0","21","252","0","12","1",NULL,"40194"
"4","MedGemma 4B","structured-output","0","14","168","0","12","1",NULL,"26796"
"4","MedGemma 4B","zero-shot","0","16","192","0","12","1",NULL,"30624"
"4","Phi-4-mini 3.8B Instruct","chain-of-thought","0","4","48","0","12","1",NULL,"7656"
"4","Phi-4-mini 3.8B Instruct","few-shot","0","4","48","0","12","1",NULL,"7656"
"4","Phi-4-mini 3.8B Instruct","structured-output","0","2","24","0","12","1",NULL,"3828"
"4","Phi-4-mini 3.8B Instruct","zero-shot","0","3","36","0","12","1",NULL,"5742"
"4","Qwen 2.5 3B Instruct","chain-of-thought","0","9","108","0","12","1",NULL,"17226"
"4","Qwen 2.5 3B Instruct","few-shot","0","13","156","0","12","1",NULL,"24882"
"4","Qwen 2.5 3B Instruct","structured-output","0","4","48","0","12","1",NULL,"7656"
"4","Qwen 2.5 3B Instruct","zero-shot","0","12","144","0","12","1",NULL,"22968"
"5","Gemma-SEA-LION v4 4B","chain-of-thought","0","9","81","0","9","1",NULL,"18810"
"5","Gemma-SEA-LION v4 4B","few-shot","0","8","72","0","9","1",NULL,"16720"
"5","Gemma-SEA-LION v4 4B","structured-output","0","9","81","0","9","1",NULL,"18810"
"5","Gemma-SEA-LION v4 4B","zero-shot","0","9","81","0","9","1",NULL,"18810"
"5","Llama 3.2 3B Instruct","chain-of-thought","0","2","18","0","9","1",NULL,"4180"
"5","Llama 3.2 3B Instruct","structured-output","0","1","9","0","9","1",NULL,"2090"
"5","Llama 3.2 3B Instruct","zero-shot","0","8","72","0","9","1",NULL,"16720"
"5","MedGemma 4B","chain-of-thought","0","9","81","0","9","1",NULL,"18810"
"5","MedGemma 4B","few-shot","0","9","81","0","9","1",NULL,"18810"
"5","MedGemma 4B","structured-output","0","9","81","0","9","1",NULL,"18810"
"5","MedGemma 4B","zero-shot","0","9","81","0","9","1",NULL,"18810"
"5","Phi-4-mini 3.8B Instruct","chain-of-thought","0","7","63","0","9","1",NULL,"14630"
"5","Phi-4-mini 3.8B Instruct","few-shot","0","3","27","0","9","1",NULL,"6270"
"5","Phi-4-mini 3.8B Instruct","structured-output","0","10","90","0","9","1",NULL,"20900"
"5","Phi-4-mini 3.8B Instruct","zero-shot","0","5","45","0","9","1",NULL,"10450"
"5","Qwen 2.5 3B Instruct","chain-of-thought","0","8","72","0","9","1",NULL,"16720"
"5","Qwen 2.5 3B Instruct","few-shot","0","8","72","0","9","1",NULL,"16720"
"5","Qwen 2.5 3B Instruct","structured-output","0","8","72","0","9","1",NULL,"16720"
"5","Qwen 2.5 3B Instruct","zero-shot","0","8","72","0","9","1",NULL,"16720"
"6","Gemma-SEA-LION v4 4B","chain-of-thought","0","5","30","0","6","1",NULL,"28525"
"6","Gemma-SEA-LION v4 4B","few-shot","0","6","36","0","6","1",NULL,"34230"
"6","Gemma-SEA-LION v4 4B","structured-output","0","6","36","0","6","1",NULL,"34230"
"6","Gemma-SEA-LION v4 4B","zero-shot","0","5","30","0","6","1",NULL,"28525"
"6","Llama 3.2 3B Instruct","chain-of-thought","0","1","6","0","6","1",NULL,"5705"
"6","Llama 3.2 3B Instruct","few-shot","0","4","24","0","6","1",NULL,"22820"
"6","Llama 3.2 3B Instruct","structured-output","0","5","30","0","6","1",NULL,"28525"
"6","Llama 3.2 3B Instruct","zero-shot","0","4","24","0","6","1",NULL,"22820"
"6","MedGemma 4B","chain-of-thought","0","6","36","0","6","1",NULL,"34230"
"6","MedGemma 4B","few-shot","0","6","36","0","6","1",NULL,"34230"
"6","MedGemma 4B","structured-output","0","6","36","0","6","1",NULL,"34230"
"6","MedGemma 4B","zero-shot","0","6","36","0","6","1",NULL,"34230"
"6","Phi-4-mini 3.8B Instruct","chain-of-thought","0","5","30","0","6","1",NULL,"28525"
"6","Phi-4-mini 3.8B Instruct","few-shot","0","6","36","0","6","1",NULL,"34230"
"6","Phi-4-mini 3.8B Instruct","structured-output","0","6","36","0","6","1",NULL,"34230"
"6","Phi-4-mini 3.8B Instruct","zero-shot","0","4","24","0","6","1",NULL,"22820"
"6","Qwen 2.5 3B Instruct","chain-of-thought","0","4","24","0","6","1",NULL,"22820"
"6","Qwen 2.5 3B Instruct","few-shot","0","6","36","0","6","1",NULL,"34230"
"6","Qwen 2.5 3B Instruct","structured-output","0","4","24","0","6","1",NULL,"22820"
"6","Qwen 2.5 3B Instruct","zero-shot","0","3","18","0","6","1",NULL,"17115"
"7","Gemma-SEA-LION v4 4B","chain-of-thought","0","8","56","0","7","1",NULL,"14720"
"7","Gemma-SEA-LION v4 4B","few-shot","0","7","49","0","7","1",NULL,"12880"
"7","Gemma-SEA-LION v4 4B","structured-output","0","8","56","0","7","1",NULL,"14720"
"7","Gemma-SEA-LION v4 4B","zero-shot","0","8","56","0","7","1",NULL,"14720"
"7","Llama 3.2 3B Instruct","chain-of-thought","0","5","35","0","7","1",NULL,"9200"
"7","Llama 3.2 3B Instruct","few-shot","0","1","7","0","7","1",NULL,"1840"
"7","Llama 3.2 3B Instruct","structured-output","0","1","7","0","7","1",NULL,"1840"
"7","MedGemma 4B","chain-of-thought","0","9","63","0","7","1",NULL,"16560"
"7","MedGemma 4B","few-shot","0","9","63","0","7","1",NULL,"16560"
"7","MedGemma 4B","structured-output","0","9","63","0","7","1",NULL,"16560"
"7","MedGemma 4B","zero-shot","0","9","63","0","7","1",NULL,"16560"
"7","Phi-4-mini 3.8B Instruct","chain-of-thought","0","6","42","0","7","1",NULL,"11040"
"7","Phi-4-mini 3.8B Instruct","structured-output","0","6","42","0","7","1",NULL,"11040"
"7","Phi-4-mini 3.8B Instruct","zero-shot","0","5","35","0","7","1",NULL,"9200"
"7","Qwen 2.5 3B Instruct","chain-of-thought","0","1","7","0","7","1",NULL,"1840"
"7","Qwen 2.5 3B Instruct","few-shot","0","1","7","0","7","1",NULL,"1840"
"7","Qwen 2.5 3B Instruct","structured-output","0","1","7","0","7","1",NULL,"1840"
"7","Qwen 2.5 3B Instruct","zero-shot","0","1","7","0","7","1",NULL,"1840"
"8","Gemma-SEA-LION v4 4B","chain-of-thought","0","10","20","0","2","1",NULL,"3600"
"8","Gemma-SEA-LION v4 4B","few-shot","0","7","14","0","2","1",NULL,"2520"
"8","Gemma-SEA-LION v4 4B","structured-output","0","10","20","0","2","1",NULL,"3600"
"8","Gemma-SEA-LION v4 4B","zero-shot","0","9","18","0","2","1",NULL,"3240"
"8","Llama 3.2 3B Instruct","chain-of-thought","0","7","14","0","2","1",NULL,"2520"
"8","Llama 3.2 3B Instruct","few-shot","0","3","6","0","2","1",NULL,"1080"
"8","Llama 3.2 3B Instruct","structured-output","0","6","12","0","2","1",NULL,"2160"
"8","Llama 3.2 3B Instruct","zero-shot","0","6","12","0","2","1",NULL,"2160"
"8","MedGemma 4B","chain-of-thought","0","6","12","0","2","1",NULL,"2160"
"8","MedGemma 4B","few-shot","0","7","14","0","2","1",NULL,"2520"
"8","MedGemma 4B","structured-output","0","6","12","0","2","1",NULL,"2160"
"8","MedGemma 4B","zero-shot","0","6","12","0","2","1",NULL,"2160"
"8","Phi-4-mini 3.8B Instruct","chain-of-thought","0","1","2","0","2","1",NULL,"360"
"8","Phi-4-mini 3.8B Instruct","few-shot","0","2","4","0","2","1",NULL,"720"
"8","Phi-4-mini 3.8B Instruct","structured-output","0","13","26","0","2","1",NULL,"4680"
"8","Phi-4-mini 3.8B Instruct","zero-shot","0","2","4","0","2","1",NULL,"720"
"8","Qwen 2.5 3B Instruct","chain-of-thought","0","9","18","0","2","1",NULL,"3240"
"8","Qwen 2.5 3B Instruct","few-shot","0","6","12","0","2","1",NULL,"2160"
"8","Qwen 2.5 3B Instruct","structured-output","0","7","14","0","2","1",NULL,"2520"
"8","Qwen 2.5 3B Instruct","zero-shot","0","7","14","0","2","1",NULL,"2520"
"9","Gemma-SEA-LION v4 4B","chain-of-thought","0","19","266","0","14","1",NULL,"50673"
"9","Gemma-SEA-LION v4 4B","few-shot","0","16","224","0","14","1",NULL,"42672"
"9","Gemma-SEA-LION v4 4B","structured-output","0","15","210","0","14","1",NULL,"40005"
"9","Gemma-SEA-LION v4 4B","zero-shot","0","18","252","0","14","1",NULL,"48006"
"9","Llama 3.2 3B Instruct","chain-of-thought","0","9","126","0","14","1",NULL,"24003"
"9","Llama 3.2 3B Instruct","few-shot","0","10","140","0","14","1",NULL,"26670"
"9","Llama 3.2 3B Instruct","structured-output","0","3","42","0","14","1",NULL,"8001"
"9","Llama 3.2 3B Instruct","zero-shot","0","19","266","0","14","1",NULL,"50673"
"9","MedGemma 4B","chain-of-thought","0","19","266","0","14","1",NULL,"50673"
"9","MedGemma 4B","few-shot","0","18","252","0","14","1",NULL,"48006"
"9","MedGemma 4B","structured-output","0","19","266","0","14","1",NULL,"50673"
"9","MedGemma 4B","zero-shot","0","19","266","0","14","1",NULL,"50673"
"9","Phi-4-mini 3.8B Instruct","chain-of-thought","0","15","210","0","14","1",NULL,"40005"
"9","Phi-4-mini 3.8B Instruct","few-shot","0","3","42","0","14","1",NULL,"8001"
"9","Phi-4-mini 3.8B Instruct","structured-output","0","4","56","0","14","1",NULL,"10668"
"9","Phi-4-mini 3.8B Instruct","zero-shot","0","13","182","0","14","1",NULL,"34671"
